url	tier	score	archetype	reason
https://jobs.ashbyhq.com/decagon/8c40fb7a-5f25-4112-a1df-f1c22b81042c	1	4.3	A2	Direct A2 archetype match at AI-native Tier 1; on-site-only location requires relocation flexibility.
https://jobs.lever.co/mistral/715aba24-6c75-40a6-a978-ac6ebbebece5	1	4	A2	A2 TPM match, Tier 1 AI-native; strong growth path; EU comp and Paris relocation are risks.
https://jobs.ashbyhq.com/openai/8cf573f3-2268-44f7-8068-f2e60af5fc69	1	4.2	A2	A2 architect fit at OpenAI Tier 1; EU comp likely below floor — verify before applying.
https://www.glassdoor.com/Job/remote-us-ai-enablement-jobs-SRCH_IL.0,9_IS11047_KO10,23.htm	2	0	?	score-fail: 
https://www.amazon.jobs/en/jobs/10390079/principal-applied-ai-solutions-architect-amazon-connect	2	4.1	A2	Principal Applied AI Solutions Architect is core A2 match. Strong comp, architecture over SWE.
https://www.amazon.jobs/en/jobs/3177010/private-equity-ai-solutions-architect-aws-private-equity	2	4.1	A2	Title matches A2 (Solutions Architect), AWS is AI-core, GenAI for PE; likely comp-floor; lacks explicit AWS experience.
https://www.amazon.jobs/en/jobs/10392783/sr-applied-ai-solutions-architect-public-sector-amazon-connect	2	3.8	A2	A2 exact title match (Applied AI Solutions Architect); Amazon resources; public sector + incomplete JD warrant full review.
https://www.amazon.jobs/en/jobs/10392784/sr-applied-ai-solutions-architect-public-sector-amazon-connect	2	4.2	A2	Direct A2 match; Sr. Applied AI Solutions Architect at major tech with strong AI focus.
https://www.amazon.jobs/en/jobs/10384575/senior-ai-specialist-solutions-architect-aws	2	3.8	A2	A2 Solutions Architect, AI-native AWS. Verify hands-on scope, location, salary alignment.
https://www.amazon.jobs/en/jobs/3193875/principal-ai-solution-architect-data-ai-specialist-solutions-architect-team	2	4.3	A2	A2 direct match; AWS AI-native; AI ops background applicable to solutions architecture role
https://www.amazon.jobs/en/jobs/3187906/sr-genai-ml-specialist-solutions-architect-aspi-auto-manufacturing	2	4.5	A2	Sr. GenAI SA at Amazon (A2 match). Title fit, AI-native, comp above floor. Location unknown.
https://www.amazon.jobs/en/jobs/10393427/sr-applied-ai-solutions-architect-amazon-connect	2	4	A2	Perfect A2 title match, strong comp prospects. Amazon not AI-native; verify SWE/remote expectations.
https://www.amazon.jobs/en/jobs/10387521/senior-applied-ai-solutions-architect-amazon-connect	2	3.6	A2	Title perfect A2 match; Amazon has AI presence but Connect product is applications-focused.
https://www.amazon.jobs/en/jobs/10393778/senior-applied-ai-solutions-architect-amazon-connect-aws-applied-ai-solutions	2	4.2	A2	Title exact A2 match (Solutions Architect); AWS Applied AI team; likely meets comp floor; enterprise culture risk mitigated by AI division focus.
https://www.amazon.jobs/en/jobs/3193828/sr-ai-solution-architect-data-ai-specialist-solutions-architect-team	2	3.6	A2	Direct A2 title match at AWS AI initiative; verify location and scope.
